site_id,status,location_m,long,lat,long_TF,lat_TF,longitude,latitude,SoundExisting,SoundImpact,SoundNatural,NightBrightness
356,resight-only,gps,-76.73989058,38.95805184,TRUE,TRUE,-76.7398906,38.9580518,47.5720,13.1635,34.4085,3.331450
357,active,gps,-77.13156000,38.91267000,TRUE,TRUE,-77.1315600,38.9126700,47.9542,13.3734,34.5808,5.246120
362,discontinued,gps,-76.57155600,38.96558800,TRUE,TRUE,-76.5715560,38.9655880,47.7993,13.3160,34.4833,1.817300
363,discontinued,gps,-77.13199100,38.90094000,TRUE,TRUE,-77.1319910,38.9009400,49.0785,14.4516,34.6270,6.125360
364,discontinued,gps,-77.39401800,38.66997900,TRUE,TRUE,-77.3940180,38.6699790,46.9070,12.8379,34.0690,1.515020
366,active,gps,-77.01909000,39.03350000,TRUE,TRUE,-77.0190900,39.0335000,47.4500,12.9920,34.4580,3.732110
368,resight-only,gps,-77.07653493,39.01937401,TRUE,TRUE,-77.0765349,39.0193740,48.5663,14.2150,34.3513,4.299560
374,active,map,39.26895000,-76.59462000,FALSE,FALSE,-76.5946200,39.2689500,53.1724,17.6634,35.5090,9.666390
376,active,gps,-76.66785369,39.37643400,TRUE,TRUE,-76.6678537,39.3764340,47.8504,13.3595,34.4910,4.098810
380,discontinued,gps,-77.05724400,38.90909800,TRUE,TRUE,-77.0572440,38.9090980,55.2543,20.3007,34.9536,13.320700
381,active,gps,-77.09269000,38.86296000,TRUE,TRUE,-77.0926900,38.8629600,53.5081,18.7260,34.7821,7.535420
386,discontinued,gps,-77.11577700,38.87746100,TRUE,TRUE,-77.1157770,38.8774610,50.8916,16.3209,34.5707,6.555840
387,resight-only,gps,-76.80004000,39.28007600,TRUE,TRUE,-76.8000400,39.2800760,47.2915,12.9438,34.3477,3.285530
390,discontinued,gps,-76.49375300,38.38447300,TRUE,TRUE,-76.4937530,38.3844730,40.1715,5.4551,34.7165,0.262975
392,discontinued,gps,-77.29522454,38.71215900,TRUE,TRUE,-77.2952245,38.7121590,45.4925,11.3239,34.1685,1.742290
394,resight-only,gps,-76.53842000,39.06120700,TRUE,TRUE,-76.5384200,39.0612070,46.7219,12.1204,34.6016,1.621070
397,active,gps,-76.59892000,39.08908000,TRUE,TRUE,-76.5989200,39.0890800,47.9353,13.4458,34.4895,2.145560
399,resight-only,gps,-77.10548316,39.00743917,TRUE,TRUE,-77.1054832,39.0074392,48.6296,14.2603,34.3694,4.595710
400,active,gps,-77.12254000,38.88475300,TRUE,TRUE,-77.1225400,38.8847530,51.6459,17.0310,34.6149,6.555840
401,discontinued,gps,-76.61409200,39.36324700,TRUE,TRUE,-76.6140920,39.3632470,52.5603,17.7640,34.7963,5.730120
402,discontinued,gps,-76.85929287,38.77954900,TRUE,TRUE,-76.8592929,38.7795490,47.4738,13.0939,34.3798,2.615210
408,resight-only,gps,-77.11898000,38.99914900,TRUE,TRUE,-77.1189800,38.9991490,48.8320,14.1264,34.7056,4.037460
412,discontinued,gps,-77.11459700,39.04156500,TRUE,TRUE,-77.1145970,39.0415650,49.0773,14.6885,34.3887,4.874690
413,discontinued,gps,-77.16233500,38.92337600,TRUE,TRUE,-77.1623350,38.9233760,48.6426,13.9139,34.7287,3.863120
